242	4	502	467	2
49	275	89	393	1
203	163	244	276	2
862	228	898	334	3
384	89	422	186	4
589	482	633	538	5
678	284	721	407	6
496	93	528	188	7
6	367	40	477	15
440	92	473	179	16
720	103	753	195	17
246	97	284	195	18
179	447	256	538	20
173	45	207	140	21
2	26	563	477	1
49	275	89	393	1
203	163	244	276	2
862	228	898	334	3
384	89	422	186	4
589	482	633	538	5
678	284	721	407	6
496	93	528	188	7
6	367	40	477	15
440	92	473	179	16
720	103	753	195	17
246	97	284	195	18
179	447	256	538	20
173	45	207	140	21
0	79	297	442	1
163	20	592	476	4
160	20	591	477	4
148	18	580	476	12
30	9	439	449	12
37	96	481	475	1
9	64	482	476	1
