49	277	88	392	1
191	187	233	306	2
861	228	898	333	3
582	486	617	539	5
677	285	720	409	6
512	76	543	163	7
393	73	425	164	9
98	176	129	278	10
915	123	949	219	12
2	409	30	533	15
793	118	826	204	17
251	73	285	177	18
7	9	604	479	1
151	137	571	474	1
49	277	88	392	1
191	187	233	306	2
861	228	898	333	3
582	486	617	539	5
677	285	720	409	6
512	76	543	163	7
393	73	425	164	9
98	176	129	278	10
915	123	949	219	12
2	409	30	533	15
793	118	826	204	17
251	73	285	177	18
142	138	584	475	1
0	62	282	476	1
241	34	638	478	4
176	26	590	474	1
1	2	356	387	1
248	30	628	470	6
200	29	639	479	12
207	30	639	479	12
83	106	456	464	1
124	75	573	465	2
99	67	518	437	2
51	98	507	475	1
9	64	486	470	1
