243	4	498	464	2
49	275	89	393	1
202	164	244	277	2
861	228	898	334	3
389	89	427	186	4
590	482	634	538	5
678	284	721	407	6
497	93	529	187	7
6	369	39	478	15
435	89	469	179	16
721	103	755	195	17
246	96	283	194	18
179	448	257	538	20
4	28	563	477	1
49	275	89	393	1
202	164	244	277	2
861	228	898	334	3
389	89	427	186	4
590	482	634	538	5
678	284	721	407	6
497	93	529	187	7
6	369	39	478	15
435	89	469	179	16
721	103	755	195	17
246	96	283	194	18
179	448	257	538	20
3	53	293	467	1
0	78	299	447	1
195	18	606	467	4
195	18	607	467	4
172	17	589	477	12
164	16	582	477	12
36	96	481	475	1
6	68	469	468	1
