159	138	620	474	1
49	276	88	392	1
190	191	232	312	2
861	228	898	333	3
500	69	542	191	4
574	485	611	539	5
678	286	720	408	6
264	76	293	171	8
394	74	426	163	9
908	112	943	210	12
1	418	28	538	15
800	121	834	211	17
243	70	273	164	18
64	72	570	473	1
157	137	573	474	1
49	276	88	392	1
190	191	232	312	2
861	228	898	333	3
500	69	542	191	4
574	485	611	539	5
678	286	720	408	6
264	76	293	171	8
394	74	426	163	9
908	112	943	210	12
1	418	28	538	15
800	121	834	211	17
243	70	273	164	18
153	140	589	473	1
0	71	279	473	1
237	26	639	479	4
242	26	633	476	1
243	25	634	476	1
267	26	637	472	6
143	21	639	442	12
101	8	518	358	12
194	61	600	475	3
195	59	601	475	3
104	14	627	476	17
67	45	366	406	1
143	82	579	459	2
104	73	522	440	2
48	99	508	465	1
15	73	462	439	1
