338	146	495	474	2
48	276	89	393	1
198	176	239	291	2
861	228	897	332	3
442	97	478	186	4
602	490	638	539	5
678	285	721	407	6
507	80	541	174	7
395	74	426	163	9
925	133	959	233	12
3	390	36	516	15
738	108	774	203	17
248	89	282	186	18
180	480	248	539	20
173	49	205	143	21
8	27	569	477	1
123	139	567	476	1
48	276	89	393	1
198	176	239	291	2
861	228	897	332	3
442	97	478	186	4
602	490	638	539	5
678	285	721	407	6
507	80	541	174	7
395	74	426	163	9
925	133	959	233	12
3	390	36	516	15
738	108	774	203	17
248	89	282	186	18
180	480	248	539	20
173	49	205	143	21
140	137	588	474	1
0	38	303	465	1
7	84	299	441	1
0	7	352	434	1
242	33	639	479	4
260	31	635	476	6
44	0	334	371	1
260	31	635	477	6
279	27	639	476	12
280	28	639	477	12
407	127	639	478	3
412	132	639	478	3
41	58	518	463	2
15	51	453	430	2
59	99	490	473	1
35	74	475	461	1
