87	14	634	469	1
49	277	88	392	1
193	182	234	299	2
861	227	898	332	3
462	98	496	187	4
596	489	630	539	5
678	284	721	407	6
509	79	542	172	7
394	73	424	163	9
91	176	121	274	10
922	127	957	223	12
1	399	33	529	15
251	79	284	178	18
188	495	242	539	20
18	51	535	478	1
157	152	572	471	1
49	277	88	392	1
193	182	234	299	2
861	227	898	332	3
462	98	496	187	4
596	489	630	539	5
678	284	721	407	6
509	79	542	172	7
394	73	424	163	9
91	176	121	274	10
922	127	957	223	12
1	399	33	529	15
251	79	284	178	18
188	495	242	539	20
144	137	591	475	1
18	86	296	475	1
5	81	298	451	1
72	88	406	464	1
240	31	639	479	4
1	3	343	383	1
258	32	639	474	6
38	3	341	349	1
259	32	639	475	6
258	26	639	478	12
262	26	639	479	12
106	98	574	478	33
42	59	517	460	2
13	49	455	431	2
46	97	481	473	1
22	73	467	463	1
