49	275	88	393	1
206	158	247	271	2
861	229	898	335	3
587	481	630	538	5
680	283	725	409	6
492	94	524	188	7
8	359	45	474	15
708	102	741	195	17
247	100	286	200	18
182	433	257	538	20
172	46	206	141	21
39	55	571	475	1
49	275	88	393	1
206	158	247	271	2
861	229	898	335	3
587	481	630	538	5
680	283	725	409	6
492	94	524	188	7
8	359	45	474	15
708	102	741	195	17
247	100	286	200	18
182	433	257	538	20
172	46	206	141	21
6	43	303	469	1
0	83	302	459	1
0	2	274	377	1
220	26	639	475	4
223	26	639	476	4
80	19	498	468	12
3	7	396	438	12
47	97	483	470	1
12	66	468	460	1
