49	277	88	392	1
192	185	234	302	2
861	229	898	333	3
484	94	520	190	4
585	486	620	539	5
678	285	720	408	6
510	77	543	169	7
393	73	425	164	9
96	173	129	279	10
917	125	951	221	12
2	408	30	532	15
792	117	825	204	17
252	74	286	177	18
0	16	578	479	1
151	139	570	474	1
49	277	88	392	1
192	185	234	302	2
861	229	898	333	3
484	94	520	190	4
585	486	620	539	5
678	285	720	408	6
510	77	543	169	7
393	73	425	164	9
96	173	129	279	10
917	125	951	221	12
2	408	30	532	15
792	117	825	204	17
252	74	286	177	18
148	138	590	475	1
0	48	291	475	1
238	31	639	479	4
203	26	617	474	1
246	30	630	472	6
3	1	351	381	1
245	30	629	473	6
206	25	639	479	12
212	26	639	479	12
136	71	584	464	2
94	66	518	439	2
51	96	506	475	1
6	64	481	471	1
