198	146	558	476	1
49	275	89	394	1
199	172	241	288	2
860	227	897	331	3
601	487	641	539	5
677	286	720	407	6
506	88	537	177	7
395	74	425	163	9
930	138	959	240	12
6	384	38	498	15
731	104	766	202	17
247	91	281	186	18
184	471	255	539	20
173	46	207	141	21
3	27	559	476	1
143	139	580	474	1
49	275	89	394	1
199	172	241	288	2
860	227	897	331	3
601	487	641	539	5
677	286	720	407	6
506	88	537	177	7
395	74	425	163	9
930	138	959	240	12
6	384	38	498	15
731	104	766	202	17
247	91	281	186	18
184	471	255	539	20
173	46	207	141	21
0	54	283	462	1
7	85	296	433	1
0	4	286	417	1
201	27	598	465	4
114	14	511	447	4
54	0	325	366	1
266	30	635	473	6
55	0	322	366	1
266	30	635	473	6
290	31	639	476	12
290	32	639	477	12
374	19	639	472	3
372	11	639	472	3
42	53	522	464	2
24	45	450	415	2
44	92	495	472	1
22	59	477	444	1
